"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Bruno Fernando","Atl","F-C","25.4","13","6.5","20.7","20.4","19","0.526","24","0.583","3","0","0.519","0.537","2.9","2","0.3","0.2","0.4","0.5","4.9","3.2","5.2","7.4","101.4","106.3"
"","Kira Lewis Jr.","Nor","G","22.8","15","9.6","19.4","13.2","11","0.909","32","0.438","20","0.1","0.327","0.387","2.9","0.9","1.2","0.3","0.1","0.5","3.9","4.1","5.1","6.1","89.6","113.1"
"","Ish Wainright","Por","F","29.4","7","6.6","18.3","5.1","2","1","2","0","16","0.375","0.5","0.53","2.9","1.3","0","0.3","0.1","0.1","4.1","2.9","4.1","0","105.6","109.8"
"","Patrick Baldwin","Was","F","21.2","15","6.9","16.4","13.8","10","0.7","14","0.357","17","0.529","0.597","0.621","2.9","1.9","0.4","0.1","0.2","0.3","4.9","3.3","5.3","7.5","115.9","106"
"","Jaxson Hayes","Lal","C-F","23.7","36","9.5","12","21.6","28","0.536","60","0.717","5","0","0.662","0.653","2.8","1.7","0.3","0.2","0.3","0.5","4.5","3.1","4.8","4.7","111.8","99.3"
"","Luka Samanic","Uta","F","24","21","6","23.2","13.8","13","0.846","35","0.457","21","0.238","0.42","0.47","2.8","1.8","0.2","0","0.1","0.4","4.6","3","4.8","6.7","93.2","108.7"
"","Saben Lee","Pho","G","24.6","11","6.8","19.4","19","17","0.765","16","0.563","5","0","0.429","0.544","2.8","1.1","1.1","0.3","0.3","0.5","3.9","3.9","5","8.8","117.3","111.3"
"","Dereon Seabron","Nor","G","23.7","5","10.5","12.8","0","6","0.833","11","0.273","2","0.5","0.346","0.448","2.8","1.4","0.8","0.4","0.2","0","4.2","3.6","5","5.6","113.3","109.3"
"","Rayan Rupert","Por","G-F","19.7","14","7.5","19.8","13","8","0.625","24","0.333","16","0.375","0.425","0.448","2.8","1.4","0.7","0.1","0","0.4","4.1","3.5","4.9","7.5","96.7","116.9"
"","Andre Jackson Jr.","Mil","G","22.2","38","11.4","9.8","19.7","9","0.889","42","0.69","35","0.371","0.63","0.648","2.8","2.2","0.9","0.3","0.1","0.5","5","3.7","5.9","6.2","128.6","103.8"
"","Nicolas Batum","Lac","G-F","35.1","3","18","7.3","11.1","0","0","1","1","7","0.286","0.5","0.5","2.7","2.3","1.7","1","1.3","0.3","5","4.3","6.7","4.9","113.9","107.1"
"","Sandro Mamukelashvili","San","F-C","24.7","25","7","17.4","10.6","16","0.75","27","0.593","32","0.25","0.475","0.515","2.7","2","1","0.2","0.3","0.3","4.7","3.7","5.7","10","116.1","110.7"
"","Moussa Diabate","Lac","F","22","10","5.8","19.1","9.8","12","0.75","18","0.5","0","0","0.5","0.58","2.7","2.1","0.4","0.4","0","0.2","4.8","3.1","5.2","9.1","138.1","109.8"
"","Lester Quinones","Gol","G","23.2","9","6.3","21.3","17.7","2","0.5","10","0.4","13","0.385","0.5","0.503","2.7","1.3","0.6","0.1","0.1","0.6","4","3.2","4.6","8.1","97.5","111"
"","Adama Sanogo","Chi","F","22","3","3.5","22","23.3","3","0.667","3","1","0","0","1","0.926","2.7","2","0","0","0","0.3","4.7","2.7","4.7","0","0","0"
"","Markieff Morris","Dal","F","34.4","16","9.4","16.3","16","4","0.75","19","0.316","28","0.321","0.415","0.431","2.6","1.8","0.7","0.3","0.1","0.6","4.4","3.3","5.1","6.3","87.3","111.9"
"","Otto Porter Jr.","Tor","F","30.6","15","11.6","8.9","5.6","3","1","10","0.6","23","0.348","0.545","0.568","2.6","1.9","0.5","0.3","0.3","0.1","4.5","3.1","5.1","4.7","122.8","108.7"
"","Leonard Miller","Min","F","20.2","5","3.7","23.6","10","0","0","6","0.833","3","0.333","0.722","0.722","2.6","1.8","0.2","0.2","0.2","0.2","4.4","2.8","4.6","10.6","0","0"
"","Jared Rhoden","Det","G","24.4","5","5.9","16.8","17.5","2","1","5","0.8","4","0.25","0.611","0.658","2.6","0.8","0.6","0","0","0.4","3.4","3.2","4","7.3","119.2","113.1"
"","Kenneth Lofton Jr.","Mem","F","21.5","15","6.6","21.5","13.9","15","0.533","27","0.407","10","0.3","0.419","0.447","2.6","1","0.9","0.2","0.2","0.4","3.6","3.5","4.5","8","95.1","101.1"
"","Cole Swider","Mia","F","24.7","9","4.9","24","12.5","0","0","6","0.667","15","0.333","0.548","0.548","2.6","0.2","0.3","0.1","0.1","0.3","2.8","2.9","3.1","4.4","98.7","116.1"
"","Joe Harris","Det","G-F","32.4","15","10.5","10.9","9.9","2","0.5","7","0.429","29","0.345","0.5","0.502","2.5","0.9","0.7","0.2","0.1","0.3","3.3","3.1","4","4.4","104.9","115.1"
"","Svi Mykhailiuk","Bos","G-F","26.6","20","7.7","17.3","10.1","6","0.5","11","0.455","42","0.286","0.434","0.44","2.5","0.9","0.3","0.3","0","0.3","3.3","2.8","3.6","4.6","91.8","108.5"
"","Greg Brown III","Dal","F","22.4","6","6.6","20.2","26.3","9","0.444","8","0.5","3","0.333","0.5","0.501","2.5","1.5","0.7","0","0.7","0.7","4","3.2","4.7","8.4","96.1","108.1"
"","Gui Santos","Gol","F","21.6","6","5.8","18.9","14.9","6","1","5","0.6","6","0.167","0.409","0.55","2.5","2","0.3","0","0","0.3","4.5","2.8","4.8","7.9","120.2","112.5"
"","Dalano Banton","Bos","F","24.2","21","7.1","17.2","17.2","18","0.778","31","0.516","12","0.167","0.442","0.511","2.5","1.6","0.6","0.2","0.1","0.4","4","3.1","4.7","7.5","109","100.3"
"","Amari Bailey","Cha","G","19.9","2","5.3","32.2","13.9","2","0.5","4","0.5","2","0","0.333","0.363","2.5","1","0","0","0","0.5","3.5","2.5","3.5","0","79.7","131.3"
"","Alex Len","Sac","C","30.6","17","8.8","12.6","27.4","10","0.4","27","0.667","2","0","0.621","0.599","2.4","3.3","1.1","0.2","0.5","0.6","5.6","3.5","6.8","9.4","121.3","104.8"
"","Jordan McLaughlin","Min","G","27.8","24","8.9","13.8","12.5","6","0.5","26","0.423","30","0.367","0.491","0.495","2.4","1","1.8","0.7","0.2","0.3","3.4","4.2","5.2","7.3","117.1","106.5"
"","Lamar Stevens","Bos","F","26.5","17","6.3","19.5","17.6","8","0.75","30","0.467","7","0.286","0.459","0.494","2.4","1.4","0.4","0.4","0.3","0.5","3.8","2.8","4.2","7","98.9","99.9"
"","Nate Hinton","Hou","G-F","24.6","5","5.3","16.5","10","0","0","4","0","5","0.8","0.667","0.667","2.4","1","0.2","0","0","0.2","3.4","2.6","3.6","5.9","125.3","98.7"
